	D17p7_A2_nuc	D17p7_B7_nuc	D17p7_B8_cyto	D17p7_A3_cyto	D17p7_B9_memb	D17p7_A4_memb	D17p7_B10_insol	D17p7_A5_insol	R2-total-depl	R1-total-depl
FBgn0000147	408.729296	401.8601719	393.025788	413.5831102	475.1533582	461.2732612	668.7188103	831.0423675	605.8235966	605.8235966
FBgn0000150	4274.33857	4039.362023	56891.4011	66175.41856	12409.88771	15442.07459	7609.481496	7453.893949	9431.681351	9431.681351
FBgn0000152	964.6704148	885.2786812	506.8930724	528.1138176	423.6201815	502.745536	296.2110166	284.2226685	524.9186966	524.9186966
FBgn0000153	6.927615187	5.931515452	11.01941462	14.84657319	13.97509877	18.62020504	12.7161295	23.17032623	19.74464822	19.74464822
FBgn0000157	0	0	0	0	0.873443673	0	0	0	0.481576786	0.481576786
FBgn0000158	55.42092149	66.72954883	27.54853654	16.96751221	55.02695141	44.01139373	74.05275416	92.68130493	65.49444288	65.49444288
FBgn0000163	7521.658189	7694.65842	3373.777442	3143.231637	7802.472333	8498.430854	14196.43658	14347.83835	10887.96955	10887.96955
FBgn0000166	32.90617214	35.58909271	1.836569103	2.120939026	1.746887346	5.078237738	2.244022853	1.544688416	6.260498216	6.260498216
FBgn0000173	1447.871574	1451.738407	1753.923493	1976.715173	2294.53653	1729.986323	3248.597084	3012.914754	3007.447028	3007.447028
FBgn0000179	116.0375544	126.0447034	64.2799186	74.23286593	91.71158569	90.56190632	172.7897597	149.8347763	47.6761018	47.6761018
FBgn0000180	1030.482759	986.1144439	545.4610235	547.2022688	741.5536786	716.031521	698.639115	612.4689567	738.2572127	738.2572127
FBgn0000181	3676.83176	3839.173376	25443.82835	29364.40082	15027.5984	16783.57572	7482.320201	6989.71508	7686.447079	7686.447079
FBgn0000182	0	1.482878863	0	0	2.62033102	0	0	0	0.963153572	0.963153572
FBgn0000183	665.0510579	781.4771608	304.8704711	360.5596345	946.8129418	892.9234689	1716.677483	1628.873934	488.3188609	488.3188609
FBgn0000206	0	0	0	0	0	0	0	0	0	0
FBgn0000210	4433.67372	5766.915898	4508.777147	4082.807626	4600.427827	4489.16216	7008.083371	6891.627366	2186.840185	2186.840185
FBgn0000212	910.9813971	1115.124905	433.4303083	366.9224516	799.200961	808.2861732	3571.736375	3757.454571	630.3840127	630.3840127
FBgn0000216	0	1.482878863	1.836569103	6.362817079	0	0	0	3.089376831	1.926307143	1.926307143
FBgn0000221	431.2440454	433.000628	1292.944648	1285.28905	675.1719594	775.277628	228.890331	224.7521645	564.8895698	564.8895698
FBgn0000227	1.731903797	0	0	0	0	0	0	0	0	0
FBgn0000228	831.3138224	926.7992894	1744.740648	1471.931684	1032.410422	971.6361538	940.9935832	988.6005859	809.530577	809.530577
FBgn0000229	997.5765869	969.8027764	685.0402754	697.7889397	1108.400021	820.9817676	1549.871784	1558.590611	1645.066301	1645.066301
FBgn0000233	0	0	0	0	0	0	0	0	0.481576786	0.481576786
FBgn0000239	1470.386323	1484.361742	657.4917388	632.0398299	1281.341869	1340.654763	2493.10939	2697.798318	1708.634436	1708.634436
FBgn0000241	20.78284556	19.27742522	3.673138206	4.241878053	1.746887346	3.385491825	6.73206856	3.861721039	5.77892143	5.77892143
FBgn0000242	7672.333819	6530.598513	3294.80497	2903.565527	1344.229813	1368.58507	1433.930603	1301.39999	2610.146179	2610.146179
FBgn0000244	3533.083745	3112.562733	3281.948987	3117.780369	2878.870347	2279.282371	1700.221315	1604.15892	2444.483765	2444.483765
FBgn0000246	453.7587947	381.0998678	525.2587634	559.927903	380.8214415	286.9204322	295.463009	274.1821938	374.6667394	374.6667394
FBgn0000247	1766.541873	1681.584631	523.4221943	506.9044273	999.2195622	1190.000377	1909.663448	1908.462537	1066.692581	1066.692581
FBgn0000250	1006.236106	947.5595935	1439.870177	1278.926233	855.1013561	756.6574229	1169.135907	1248.10824	1104.25557	1104.25557
FBgn0000251	0	0	0	0	0	0	0	0	0	0
FBgn0000253	2436.788642	2940.548785	3647.426238	5094.495542	10880.48784	6060.030367	9169.077379	8655.661536	4898.117489	4898.117489
FBgn0000256	103.9142278	114.1816725	71.62619501	101.8050733	118.7883396	103.2575007	106.2170817	116.6239754	115.5784286	115.5784286
FBgn0000257	533.4263694	619.8433647	1114.797445	1166.516465	1485.727688	1482.845419	1064.41484	1091.322366	1065.24785	1065.24785
FBgn0000259	666.7829617	656.9153363	765.8493159	918.3665985	963.4083716	709.2605374	1117.523381	1026.445452	698.7679163	698.7679163
FBgn0000261	467.6140251	493.7986614	896.2457222	971.3900741	954.6739349	1129.907897	1245.432684	1338.472512	746.9255949	746.9255949
FBgn0000273	1737.099508	1921.811006	644.6357551	634.1607689	1418.472525	1253.478348	3339.106006	3233.805198	1460.622392	1460.622392
FBgn0000274	0	1.482878863	0	0	0	0	0	0	0.481576786	0.481576786
FBgn0000276	0	0	1.836569103	0	0	0	0	0	0.963153572	0.963153572
FBgn0000277	0	0	0	0	0	0.846372956	0.748007618	0	0	0
FBgn0000278	0	0	0	0	0	0	0.748007618	0	0.481576786	0.481576786
FBgn0000279	3.463807593	4.448636589	9.182845514	2.120939026	0.873443673	4.231864781	3.740038089	3.861721039	1.926307143	1.926307143
FBgn0000280	0	0	0	0	0	0	0	0	0	0
FBgn0000281	0	0	0	0	0	0	0	0	0	0
FBgn0000283	2958.091685	2783.363626	784.2150069	727.4820861	1778.331319	1638.578043	3882.907544	4251.754864	3170.701558	3170.701558
FBgn0000286	564.6006377	613.9118493	200.1860322	184.5216953	306.5787293	319.9289775	409.1601669	410.1147743	276.4250751	276.4250751
FBgn0000287	0	0	0	0	0.873443673	0	0	0	0.481576786	0.481576786
FBgn0000289	3401.459057	3548.529119	1252.540128	1111.37205	2418.565531	2479.026389	3445.323087	3517.255522	2937.618394	2937.618394
FBgn0000299	39.83378732	28.1746984	7.346276411	12.72563416	20.08920448	18.62020504	18.70019044	11.58516312	24.07883929	24.07883929
FBgn0000303	0	0	1.836569103	0	0	0	0	0	0	0
FBgn0000307	1652.236222	1761.660089	609.7409421	521.7510005	1089.184261	970.7897809	2460.197055	2545.646509	994.4560628	994.4560628
FBgn0000308	3314.863867	3882.176863	22073.72405	26677.17107	15663.46539	11144.19272	7992.461396	7735.027241	7504.892631	7504.892631
FBgn0000313	214.7560708	158.6680383	27.54853654	31.8140854	33.19085958	49.93600442	25.432259	24.71501465	34.1919518	34.1919518
FBgn0000316	65.81234427	43.00348703	18.36569103	29.69314637	37.55807795	45.70413964	72.55673892	69.5109787	103.0574322	103.0574322
FBgn0000317	736.0591136	701.4017022	314.0533166	252.3917441	681.2860651	643.2434468	1827.38261	1842.81328	945.3352307	945.3352307
FBgn0000318	549.0135036	440.4150223	2666.698337	3013.854357	1002.713337	1122.29054	1129.491503	1129.939576	959.3009575	959.3009575
FBgn0000319	7549.36865	7848.877822	4293.898562	3804.964613	8839.249973	9453.985922	20409.38785	20531.22607	13475.00005	13475.00005
FBgn0000320	1.731903797	1.482878863	0	2.120939026	0.873443673	1.692745913	2.244022853	0.772344208	0.963153572	0.963153572
FBgn0000326	161.0670531	129.0104611	148.7620973	150.5866709	88.217811	113.4139761	121.9252417	135.1602364	153.6229947	153.6229947
FBgn0000330	294.4236454	286.1956206	314.0533166	360.5596345	238.4501228	275.9175837	264.7946967	261.0523422	249.4567751	249.4567751
FBgn0000337	3.463807593	1.482878863	0	0	1.746887346	1.692745913	1.496015236	0.772344208	0.481576786	0.481576786
FBgn0000339	748.1824402	723.6448851	1998.187184	1904.603246	948.5598291	931.8566249	561.7537209	486.5768509	820.6068431	820.6068431
FBgn0000346	83.13138224	75.62682201	42.24108936	33.93502442	48.9128457	65.17071763	85.27286843	79.5514534	84.75751431	84.75751431
FBgn0000351	39.83378732	57.83227566	60.60678039	31.8140854	41.92529632	44.01139373	38.89639612	32.43845673	34.67352858	34.67352858
FBgn0000352	905.7856857	1035.049446	292.0144873	260.8755003	609.6636839	746.5009474	1407.750337	1438.877259	1008.42179	1008.42179
FBgn0000355	0	1.482878863	1.836569103	0	0.873443673	1.692745913	0	0	0	0
FBgn0000356	0	1.482878863	0	0	0	0	0	0	0	0
FBgn0000357	3.463807593	5.931515452	3.673138206	2.120939026	0.873443673	1.692745913	1.496015236	2.317032623	1.444730358	1.444730358
FBgn0000358	1.731903797	1.482878863	0	0	0	0	0	0	0	0
FBgn0000359	0	2.965757726	1.836569103	2.120939026	0	0	0	0	0	0
FBgn0000360	1.731903797	1.482878863	0	0	0	0	0	0	0	0
FBgn0000370	7277.459754	7396.599769	17948.78984	19758.66797	35823.41881	28018.33034	12320.43347	12013.04181	12298.50796	12298.50796
FBgn0000376	524.7668504	566.4597257	235.0808452	277.8430125	540.6616337	688.9475864	555.76966	612.4689567	186.8517929	186.8517929
FBgn0000377	585.3834833	645.0523054	1033.988405	975.6319522	1037.651084	1126.522405	1239.448623	1340.0172	1010.348097	1010.348097
FBgn0000382	2253.20684	2632.109982	1744.740648	1503.74577	2672.73764	2590.747619	3571.736375	3453.150953	2136.756199	2136.756199
FBgn0000384	2040.182673	1792.800545	861.3509092	895.0362692	1144.211212	757.5037959	1190.08012	1192.499457	1462.548699	1462.548699
FBgn0000392	0	0	0	0	0	0	0	0	0	0
FBgn0000394	725.6676908	726.6106429	674.0208607	708.3936348	660.323417	677.098365	460.0246849	433.2851006	655.9075824	655.9075824
FBgn0000395	1925.877022	1843.218427	732.791072	572.6535371	761.6428831	672.0201273	1232.716554	1083.598923	1221.278729	1221.278729
FBgn0000404	3541.743264	3412.104264	1928.397558	1834.612258	4641.47968	4256.409597	7305.042395	7562.022138	6833.574591	6833.574591
FBgn0000405	1950.123675	1809.112213	1045.00782	1058.348574	2330.34772	2556.046328	3441.583049	3521.889587	2114.603667	2114.603667
FBgn0000406	0	0	0	0	0	0	0	0	0	0
FBgn0000409	1342.225442	1401.320526	26707.38789	27440.70912	8074.113315	6230.151331	1976.984134	1913.868947	3497.210619	3497.210619
FBgn0000411	0	0	0	0	0	0	0.748007618	0	0.481576786	0.481576786
FBgn0000412	1035.67847	1039.498083	815.4366817	1039.260123	1421.9663	1329.651914	2512.557588	2669.993926	2178.171802	2178.171802
FBgn0000413	1795.984237	1844.701306	1489.457542	1495.262014	2485.820694	2425.704893	3592.680588	3467.825493	2858.158224	2858.158224
FBgn0000414	890.1985515	1003.90899	670.3477225	574.7744762	677.7922904	694.8721971	1296.297202	1291.359515	711.2889127	711.2889127
FBgn0000416	22390.05228	20322.85482	2760.363362	2780.551064	4209.998505	3675.797749	7699.990417	6568.015143	12824.38981	12824.38981
FBgn0000422	22.51474936	11.8630309	3.673138206	6.362817079	5.240662039	5.924610694	3.740038089	4.634065247	7.223651788	7.223651788
FBgn0000426	218.2198784	238.7434969	1447.216453	1686.146526	681.2860651	804.0543085	614.1142542	651.8585113	611.1209413	611.1209413
FBgn0000427	10.39142278	13.34590977	7.346276411	2.120939026	0.873443673	2.539118869	0.748007618	1.544688416	2.407883929	2.407883929
FBgn0000439	0	0	0	0	0	0	0	0	0	0
FBgn0000442	13.85523037	7.414394315	16.52912193	2.120939026	7.860993059	5.924610694	5.984060942	3.861721039	3.852614287	3.852614287
FBgn0000447	405.2654884	381.0998678	2058.793964	2061.552734	1067.348169	1078.279146	435.3404335	446.4149521	661.204927	661.204927
FBgn0000448	6.927615187	7.414394315	5.509707308	4.241878053	4.367218366	2.539118869	10.47210665	7.723442078	4.334191073	4.334191073
FBgn0000449	0	0	0	0	0	0	0	0	0	0
FBgn0000451	0	0	3.673138206	0	0	2.539118869	0	0	0.481576786	0.481576786
FBgn0000454	1300.659751	1294.553247	3485.808157	3465.614369	3153.13166	3800.214574	3852.239232	4147.488396	2790.255897	2790.255897
FBgn0000455	384.4826429	364.7882003	1048.680958	992.5994644	832.3918206	908.1581821	803.3601815	880.4723968	757.5202842	757.5202842
FBgn0000459	0	0	0	0	0	0	0	0.772344208	0	0
FBgn0000463	401.8016808	344.0278962	73.46276411	86.95850009	95.20536038	76.17356607	106.9650893	112.7622543	161.8098001	161.8098001
FBgn0000464	2043.64648	2043.407073	776.8687305	674.4586104	533.6740844	446.038548	1018.786375	871.2042663	869.2460985	869.2460985
FBgn0000473	5.19571139	2.965757726	0	2.120939026	0	0.846372956	0.748007618	1.544688416	0.963153572	0.963153572
FBgn0000477	71.00805566	81.55833746	126.7232681	146.3447928	56.77383876	71.09532833	65.82467036	54.83643875	86.20224467	86.20224467
FBgn0000479	2618.638541	2897.545298	1265.396112	1266.200599	1579.186161	1601.337633	2769.872209	2482.314284	1127.852833	1127.852833
FBgn0000482	656.391539	636.1550322	484.8542431	443.2762565	598.3089162	710.9532833	1001.5822	1043.437025	692.9889949	692.9889949
FBgn0000489	13.85523037	20.76030408	126.7232681	108.1678903	21.83609183	15.23471321	16.45616759	27.03204727	13.48415	13.48415
FBgn0000490	8.659518984	2.965757726	9.182845514	6.362817079	0.873443673	1.692745913	1.496015236	4.634065247	1.926307143	1.926307143
FBgn0000492	1.731903797	0	0	0	0.873443673	0.846372956	0	0.772344208	0	0
FBgn0000497	19.05094176	4.448636589	1.836569103	6.362817079	6.114105713	4.231864781	2.244022853	3.089376831	2.407883929	2.407883929
FBgn0000499	335.9893366	341.0621385	547.2975926	574.7744762	860.3420181	913.2364198	695.6470845	684.2969681	678.5416913	678.5416913
FBgn0000500	0	0	0	0	0	0	0	0	0	0
FBgn0000504	12.12332658	20.76030408	14.69255282	6.362817079	13.1016551	7.617356607	9.724099031	6.178753662	10.1131125	10.1131125
FBgn0000520	535.1582732	576.8398777	640.9626169	576.8954152	675.1719594	793.05146	555.76966	600.8837936	617.8630163	617.8630163
FBgn0000524	883.2709363	928.2821682	620.7603568	685.0633055	1459.524378	1514.161219	1400.27026	1352.374708	860.5777163	860.5777163
FBgn0000527	1.731903797	0	0	0	0	0	0.748007618	0.772344208	0.481576786	0.481576786
FBgn0000529	10.39142278	13.34590977	12.85598372	4.241878053	4.367218366	5.924610694	2.992030471	0.772344208	3.371037501	3.371037501
FBgn0000533	46.76140251	31.14045612	23.87539834	55.14441469	19.21576081	22.85206982	13.46413712	13.90219574	24.56041608	24.56041608
FBgn0000535	8.659518984	17.79454636	11.01941462	0	8.734436732	0.846372956	1.496015236	1.544688416	4.334191073	4.334191073
FBgn0000536	883.2709363	828.9292844	255.2831053	250.2708051	393.9230966	351.2447769	575.2178581	599.3391052	589.4499859	589.4499859
FBgn0000541	4064.778211	3856.967923	607.904373	559.927903	1355.584581	1285.640521	4286.831657	4299.640205	1855.515356	1855.515356
FBgn0000542	19.05094176	25.20894067	5.509707308	8.483756106	9.607880406	14.38834026	17.95218283	19.30860519	4.334191073	4.334191073
FBgn0000543	325.5979138	458.2095687	870.5337547	873.8268789	839.37937	909.004555	979.1419717	993.2346512	666.9838484	666.9838484
FBgn0000546	947.3513768	1002.426111	301.1973329	241.787049	347.630582	374.9432196	575.2178581	606.2902031	359.737859	359.737859
FBgn0000547	9731.567434	10807.22115	3812.717457	3590.749772	3475.432376	3106.18875	6921.314487	6123.917223	4455.066846	4455.066846
FBgn0000551	5.19571139	2.965757726	0	0	0	0	0.748007618	0	0	0
FBgn0000552	0	0	0	0	0	0	0	0	0	0
FBgn0000556	33995.53963	35845.63076	163133.2506	199771.2469	152998.5079	145483.0475	83374.42509	77369.58101	73638.86948	73638.86948
FBgn0000557	5.19571139	17.79454636	12.85598372	19.08845124	33.19085958	21.15932391	14.21214474	17.76391678	11.55784286	11.55784286
FBgn0000559	34804.3387	35550.53786	86970.72986	105192.2129	105476.1845	127603.4188	83931.69077	78224.56605	67053.78851	67053.78851
FBgn0000560	0	1.482878863	0	0	0	0	0	0.772344208	0.481576786	0.481576786
FBgn0000562	845.1690528	940.1451991	620.7603568	619.3141957	1038.524527	1112.134065	1647.112774	1730.051025	1001.198138	1001.198138
FBgn0000564	0	0	0	0	0	0	0	0	0	0
FBgn0000565	555.9411187	452.2780532	516.0759179	538.7185127	303.9583983	341.9346743	294.7150014	323.612223	418.0086501	418.0086501
FBgn0000566	79.66757465	115.6645513	293.8510565	320.261793	195.6513828	203.1295095	284.9909024	305.0759621	250.9015054	250.9015054
FBgn0000567	1345.68925	1278.24158	798.9075597	617.1932567	523.1927603	507.8237738	762.2197625	761.5313888	505.6556252	505.6556252
FBgn0000568	2485.281948	2853.058932	740.1373484	697.7889397	1046.385521	1126.522405	1906.671418	1879.113457	766.1886663	766.1886663
FBgn0000575	1837.549928	1782.420393	716.2619501	738.0867812	1642.947549	1175.612036	1561.839906	1489.079633	1359.972843	1359.972843
FBgn0000576	0	0	0	0	0	0	0.748007618	0	0	0
FBgn0000577	10.39142278	10.38015204	3.673138206	8.483756106	13.97509877	14.38834026	20.19620568	12.35750732	5.297344645	5.297344645
FBgn0000578	1208.86885	1473.98159	1500.476957	1412.545392	1156.439423	1157.838204	2017.376545	2113.906097	1107.145031	1107.145031
FBgn0000579	3443.024748	3805.067162	13733.86375	15966.42899	10772.18082	13584.28595	9071.836388	9241.87079	7711.007495	7711.007495
FBgn0000581	3131.282064	3278.645166	1210.299039	1266.200599	2072.681837	2148.940936	3810.350805	3876.395579	1665.774102	1665.774102
FBgn0000588	261.5174733	265.4353165	505.0565033	559.927903	490.0019007	565.3771348	362.7836946	379.221006	297.6144537	297.6144537
FBgn0000591	0	0	1.836569103	0	0	0	0.748007618	0	1.444730358	1.444730358
FBgn0000592	3.463807593	1.482878863	0	0	0	0	0.748007618	0	0	0
FBgn0000594	5.19571139	1.482878863	0	0	0	0	0	0	0	0
FBgn0000606	0	0	1.836569103	0	0	0	0	0	0	0
FBgn0000611	1695.533817	1708.27645	422.4108936	487.8159761	1514.551329	1432.063042	3144.624025	2961.940037	3324.324553	3324.324553
FBgn0000615	100.4504202	91.93848951	156.1083737	173.9170002	199.1451575	173.506456	130.1533255	135.9325806	131.4704625	131.4704625
FBgn0000617	76.20376705	88.97273178	113.8672844	154.8285489	140.6244314	165.0427265	167.5537064	203.1265266	125.6915411	125.6915411
FBgn0000618	27.71046075	32.62333499	148.7620973	137.8610367	93.45847304	96.48651702	82.28083795	99.6324028	69.34705717	69.34705717
FBgn0000625	1.731903797	0	1.836569103	0	0	0	0	0	0	0
FBgn0000629	1158.64364	1115.124905	389.3526498	386.0109028	593.9416978	702.4895537	1525.187533	1682.938029	1242.468108	1242.468108
FBgn0000633	147.2118227	133.4590977	119.3769917	97.56319522	63.76138815	61.78522581	94.24895984	89.5919281	73.19967145	73.19967145
FBgn0000635	1267.753579	1330.14234	280.9950727	352.0758784	302.2115109	336.8564366	786.1560063	697.4268196	674.2075002	674.2075002
FBgn0000636	90.05899743	48.93500248	33.05824385	27.57220734	20.08920448	14.38834026	19.44819806	22.39798202	43.82348751	43.82348751
FBgn0000639	0	1.482878863	0	2.120939026	0	0.846372956	0.748007618	3.089376831	2.407883929	2.407883929
FBgn0000640	0	0	0	0	0	0	0	0	0	0
FBgn0000644	74.47186326	43.00348703	71.62619501	59.38629274	55.90039509	80.40543085	14.96015236	11.58516312	30.8209143	30.8209143
FBgn0000658	3.463807593	10.38015204	5.509707308	0	5.240662039	5.078237738	3.740038089	3.861721039	5.297344645	5.297344645
FBgn0000659	0	0	0	0	1.746887346	0	0	0	0	0
FBgn0000662	1787.324718	1758.694332	444.4497229	470.8484639	774.7445382	793.897833	1110.043305	1109.858627	1143.26329	1143.26329
FBgn0000667	2623.834252	2798.192414	1816.366843	1802.798172	3182.828745	3660.563036	3441.583049	3573.636649	2832.634654	2832.634654
FBgn0000709	457.2226023	550.1480582	470.1616903	360.5596345	973.016252	1096.899351	1537.155655	1616.516427	371.7772787	371.7772787
FBgn0000711	505.7159086	566.4597257	152.4352355	165.4332441	416.6326321	395.2561706	1418.222443	1438.104915	975.1929914	975.1929914
FBgn0000715	0	2.965757726	0	0	0	0	0	0	0	0
FBgn0000719	4028.408231	4045.293538	800.7441288	729.6030251	1361.698687	1090.974741	1595.500249	1303.717023	2578.362112	2578.362112
FBgn0000721	4539.319851	4613.236143	2574.869882	2381.814527	2856.160812	2833.656658	4593.514781	4304.27427	4153.118201	4153.118201
FBgn0000723	1610.670531	1433.943861	1333.349169	1230.144635	549.3960705	561.991643	1172.875945	1185.548359	1157.710593	1157.710593
FBgn0000808	17.31903797	26.69181953	3.673138206	2.120939026	2.62033102	1.692745913	0.748007618	0	2.889460715	2.889460715
FBgn0000810	507.4478124	590.1857875	343.4384222	358.4386955	828.8980459	578.0727291	902.8451946	929.1300819	485.4294002	485.4294002
FBgn0000826	39.83378732	20.76030408	613.4140803	653.2492202	252.4252216	276.7639567	64.32865513	66.42160187	91.9811661	91.9811661
FBgn0000927	38.10188353	44.48636589	75.29933322	76.35380495	49.78628938	60.0924799	44.13244945	55.60878296	32.26564465	32.26564465
FBgn0000928	798.4076503	806.6861015	365.4772515	316.0199149	654.2093113	811.6716651	1729.393612	1906.145505	953.0404592	953.0404592
FBgn0000964	3.463807593	0	0	0	1.746887346	0.846372956	0.748007618	3.089376831	2.889460715	2.889460715
FBgn0000996	602.7025213	691.0215502	659.3283079	646.8864031	1338.989151	1289.026012	1249.920729	1351.602364	689.1363806	689.1363806
